,abstract,id,journal,keywords,title,year
10,"In order to facilitate teaching complex topics in an interactive way, the authors developed a computer-assisted teaching system, a graphical user interface named TGUI (Teaching Graphical User Interface). TGUI was introduced at the beginning of 2009 in the Austrian Journal of Statistics (Dinges and Templ 2009) as being an effective instrument to train and teach staff on mathematical and statistical topics. While the fundamental principles were retained, the current TGUI system has been undergone a complete redesign. The ultimate goal behind the reimplementation was to share the advantages of TGUI and provide teachers and people who need to hold training courses with a strong tool that can enrich their lectures with interactive features. The idea was to go a step beyond the current modular blended-learning systems (see, e.g., Da Rin 2003) or the related teaching techniques of classroom-voting (see, e.g., Cline 2006). In this paper the authors have attempted to exemplify basic idea and concept of TGUI by means of statistics seminars held at Statistics Austria. The powerful open source software R (R Development Core Team 2010a) is the backend for TGUI which can therefore be used to process even complex statistical contents. However, with specifically created contents the interactive TGUI system can be used to support a wide range of courses and topics. The open source R packages TGUI Core and TGUI Teaching are freely available from the Comprehensive R Archive Network at http://CRAN.R-project.org/",WOS:000288204700001,JOURNAL OF STATISTICAL SOFTWARE,,An Open Source Approach for Modern Teaching Methods: The Interactive TGUI System,2011
11,"Response-adaptive randomization hits recently attracted a lot of attention in the literature. In this paper, we propose a new and simple family of response-adaptive randomization procedures that attain the cramer-Rao lower bounds on the allocation variances for any allocation proportions including optimal allocation proportions. The allocation Probability functions of proposed procedures are discontinuous. The existing large sample theory for adaptive designs relies on Taylor expansions of the allocation probability functions. which do not apply to nondifferentiable cases. In the present paper, we Study stopping times of stochastic processes to establish the asymptotic efficiency results. Furthermore, we demonstrate our proposal through examples, simulations and a discussion on the relationship with earlier works, including Efron's biased coin design.",WOS:000268604900017,ANNALS OF STATISTICS,"['BIASED COIN DESIGNS', 'SEQUENTIAL CLINICAL-TRIALS', 'PLAY-WINNER RULE', 'ASYMPTOTIC PROPERTIES', 'PROGNOSTIC FACTORS', 'URN MODELS', 'VARIABILITY', 'ALLOCATION']",EFFICIENT RANDOMIZED-ADAPTIVE DESIGNS,2009
12,"Covariance matrix plays a central role in multivariate statistical analysis. Significant advances have been made recently on developing both theory and methodology for estimating large covariance matrices. However, a minimax theory has yet been developed. In this paper we establish the optimal rates of convergence for estimating the covariance matrix under both the operator norm and Frobenius norm. It is shown that optimal procedures under the two norms are different and consequently matrix estimation under the operator norm is fundamentally different from vector estimation. The minimax upper bound is obtained by constructing a special class of tapering estimators and by studying their risk properties. A key step in obtaining the optimal rate of convergence is the derivation of the minimax lower bound. The technical analysis requires new ideas that are quite different from those used in the more conventional function/sequence estimation problems.",WOS:000280359400007,ANNALS OF STATISTICS,"['SELECTION', 'SPARSITY']",OPTIMAL RATES OF CONVERGENCE FOR COVARIANCE MATRIX ESTIMATION,2010
13,"The notion of probability density for a random function is not as straightforward as in finite-dimensional cases. While a probability density function generally does not exist for functional data, we show that it is possible to develop the notion of density when functional data are considered in the space determined by the eigenfunctions of principal component analysis. This leads to a transparent and meaningful surrogate for density defined in terms of the average value of the logarithms of the densities of the distributions of principal components for a given dimension. This density approximation is estimable readily from data. It accurately represents, in a monotone way, key features of small-ball approximations to density. Our results on estimators of the densities of principal component scores are also of independent interest; they reveal interesting shape differences that have not previously been considered. The statistical implications of these results and properties are identified and discussed, and practical ramifications are illustrated in numerical work.",WOS:000275510800020,ANNALS OF STATISTICS,"['PRINCIPAL-COMPONENTS-ANALYSIS', 'NONPARAMETRIC MODEL', 'RANDOM-VARIABLES', 'SCALE-SPACE', 'TIME-SERIES', 'CURVES', 'NUMBER', 'DISCRIMINATION', 'CLASSIFICATION', 'REGRESSION']",DEFINING PROBABILITY DENSITY FOR A DISTRIBUTION OF RANDOM FUNCTIONS,2010
14,"This paper illustrates asymptotic properties for a response-adaptive design generated by a two-color, randomly reinforced urn model. The design considered is optimal in the sense that it assigns patients to the best treatment, with probability converging to one. An approach to show the joint asymptotic normality of the estimators of the mean responses to the treatments is provided in spite of the fact that allocation proportions converge to zero and one. Results on the rate of convergence of the number of patients assigned to each treatment are also obtained. Finally, we study the asymptotic behavior of a suitable test statistic.",WOS:000265500500019,ANNALS OF STATISTICS,"['BIASED-COIN DESIGNS', 'CLINICAL-TRIALS', 'ALLOCATION', 'THEOREMS', 'MODELS', 'RANDOMIZATION', 'PROPORTION']","ASYMPTOTICS IN RESPONSE-ADAPTIVE DESIGNS GENERATED BY A TWO-COLOR, RANDOMLY REINFORCED URN",2009
15,"We aim at estimating a function lambda : [0, 1] -> R, subject to the constraint that it is decreasing (or increasing). We provide a unified approach for studying the L-p-loss of an estimator defined as the slope of a concave (or convex) approximation of an estimator of a primitive of., based on n observations. Our main task is to prove that the Lp-loss is asymptotically Gaussian with explicit (though unknown) asymptotic mean and variance. We also prove that the local L-p-risk at a fixed point and the global Lp-risk are of order n(-p/3). Applying the results to the density and regression models, we recover and generalize known results about Grenander and Brunk estimators. Also, we obtain new results for the Huang-Wellner estimator of a monotone failure rate in the random censorship model, and for an estimator of the monotone intensity function of an inhomogeneous Poisson process.",WOS:000248692700007,ANNALS OF STATISTICS,"['ASYMPTOTIC NORMALITY', 'GRENANDER-ESTIMATOR', 'DENSITY']",On the L-P-error of monotonicity constrained estimators,2007
16,"The generalized estimating equations (GEE) method is popular for analyzing clustered and longitudinal data. It is important to determine a proper working correlation matrix when applying the GEE method since an improper selection sometimes results in inefficient parameter estimates. In this paper, we provide the CriteriaWorkCorr macro in SAS to calculate the criteria proposed by Pan (2001), Hin, Carey, andWang (2007), Hin andWang (2009), and Gosho, Hamada, and Yoshimura (2011) for selecting the working correlation structure when the GEE method is applied. We illustrate the implementation and an example of the macro.",WOS:000334019700001,JOURNAL OF STATISTICAL SOFTWARE,['EFFICIENCY'],Criteria to Select a Working Correlation Structure for the Generalized Estimating Equations Method in SAS,2014
17,"We present a minimax optimal solution to the problem of estimating a compact, convex set from finitely many noisy measurements of its support function. The solution is based on appropriate regularizations of the least squares estimator. Both fixed and random designs are considered.",WOS:000304684900015,ANNALS OF STATISTICS,"['MAXIMUM-LIKELIHOOD-ESTIMATION', 'LOG-CONCAVE DENSITY', 'LIMIT DISTRIBUTION-THEORY', 'LINE MEASUREMENTS', 'RECONSTRUCTION', 'REGRESSION', 'ENTROPY']",OPTIMAL RATES OF CONVERGENCE FOR CONVEX SET ESTIMATION FROM SUPPORT FUNCTIONS,2012
18,"Community detection is one of the fundamental problems of network analysis, for which a number of methods have been proposed. Most model-based or criteria-based methods have to solve an optimization problem over a discrete set of labels to find communities, which is computationally infeasible. Some fast spectral algorithms have been proposed for specific methods or models, but only on a case-by-case basis. Here, we propose a general approach for maximizing a function of a network adjacency matrix over discrete labels by projecting the set of labels onto a subspace approximating the leading eigenvectors of the expected adjacency matrix. This projection onto a low-dimensional space makes the feasible set of labels much smaller and the optimization problem much easier. We prove a general result about this method and show how to apply it to several previously proposed community detection criteria, establishing its consistency for label estimation in each case and demonstrating the fundamental connection between spectral properties of the network and various model-based approaches to community detection. Simulations and applications to real-world data are included to demonstrate our method performs well for multiple problems over a wide range of parameters.",WOS:000368022000013,ANNALS OF STATISTICS,"['STOCHASTIC BLOCK-MODELS', 'SOCIAL NETWORKS', 'MINKOWSKI ADDITION', 'BLOCKMODELS', 'CONSISTENCY', 'PREDICTION', 'POLYTOPES', 'GRAPHS']",OPTIMIZATION VIA LOW-RANK APPROXIMATION FOR COMMUNITY DETECTION IN NETWORKS,2016
19,"The problem of ranking/ordering instances, instead of simply classifying them, has recently gained much attention in machine learning. In this paper we formulate the ranking problem in a rigorous statistical framework. The goal is to learn a ranking rule for deciding, among two instances, which one is ""better,"" with minimum ranking risk. Since the natural estimates of the risk are of the form of a U-statistic, results of the theory of U-processes are required for investigating the consistency of empirical risk minimizers. We establish, in particular, a tail inequality for degenerate U-processes, and apply it for showing that fast rates of convergence may be achieved under specific noise assumptions, just like in classification. Convex risk minimization methods are also studied.",WOS:000254502700013,ANNALS OF STATISTICS,"['MOMENT INEQUALITIES', 'RISK MINIMIZATION', 'RANDOM-VARIABLES', 'LIMIT-THEOREMS', 'CONSISTENCY', 'BOUNDS', 'ERROR', 'CLASSIFICATION', 'CLASSIFIERS']",Ranking and empirical minimization of U-statistics,2008
20,"This paper describes an R package, rpartOrdinal, that implements alternative splitting functions for fitting a classification tree when interest lies in predicting an ordinal response. This includes the generalized Gini impurity function, which was introduced as a method for predicting an ordinal response by including costs of misclassification into the impurity function, as well as an alternative ordinal impurity function due to Piccarreta (2008) that does not require the assignment of misclassification costs. The ordered twoing splitting method, which is not defined as a decrease in node impurity, is also included in the package. Since, in the ordinal response setting, misclassifying observations to adjacent categories is a less egregious error than misclassifying observations to distant categories, this pack a geal so includes a function for estimating an ordinal measure of association, the gamma statistic.",WOS:000276954700001,JOURNAL OF STATISTICAL SOFTWARE,,rpartOrdinal: An R Package for Deriving a Classification Tree for Predicting an Ordinal Response,2010
21,,WOS:000385276100031,R JOURNAL,,Conference Report: useR! 2016,2016
22,"In spatial statistics the ability to visualize data and models superimposed with their basic social landmarks and geographic context is invaluable. ggmap is a new tool which enables such visualization by combining the spatial information of static maps from Google Maps, OpenStreetMap, Stamen Maps or CloudMade Maps with the layered grammar of graphics implementation of ggplot2. In addition, several new utility functions are introduced which allow the user to access the Google Geocoding, Distance Matrix, and Directions APIs. The result is an easy, consistent and modular framework for spatial graphics with several convenient tools for spatial data analysis.",WOS:000321944400015,R JOURNAL,,ggmap: Spatial Visualization with ggplot2,2013
23,"We present data structures and algorithms for sets and some generalizations thereof (fuzzy sets, multisets, and fuzzy multisets) available for R through the sets package. Fuzzy (multi-)sets are based on dynamically bound fuzzy logic families. Further extensions include user-definable iterators and matching functions.",WOS:000268700400001,JOURNAL OF STATISTICAL SOFTWARE,,Generalized and Customizable Sets in R,2009
24,"Kernel smoothing is one of the most widely used non-parametric data smoothing techniques. We introduce a new R package ks for multivariate kernel smoothing. Currently it contains functionality for kernel density estimation and kernel discriminant analysis. It is a comprehensive package for bandwidth matrix selection, implementing a wide range of data-driven diagonal and unconstrained bandwidth selectors.",WOS:000252428800001,JOURNAL OF STATISTICAL SOFTWARE,"['CROSS-VALIDATION', 'BANDWIDTH SELECTION', 'MATRICES', 'CHOICE']",ks: Kernel density estimation and kernel discriminant analysis for multivariate data in R,2007
25,"There has been much recent interest in Bayesian inference for generalized additive and related models. The increasing popularity of Bayesian methods for these and other model classes is mainly caused by the introduction of Markov chain Monte Carlo (MCMC) simulation techniques which allow realistic modeling of complex problems. This paper describes the capabilities of the free software package BayesX for estimating regression models with structured additive predictor based on MCMC inference. The program extends the capabilities of existing software for semiparametric regression included in S-PLUS, SAS, R or Stata. Many model classes well known from the literature are special cases of the models supported by BayesX. Examples are generalized additive ( mixed) models, dynamic models, varying coefficient models, geoadditive models, geographically weighted regression and models for space-time regression. BayesX supports the most common distributions for the response variable. For univariate responses these are Gaussian, Binomial, Poisson, Gamma, negative Binomial, zero inflated Poisson and zero inflated negative binomial. For multicategorical responses, both multinomial logit and probit models for unordered categories of the response as well as cumulative threshold models for ordered categories can be estimated. Moreover, BayesX allows the estimation of complex continuous time survival and hazard rate models.",WOS:000232927600001,JOURNAL OF STATISTICAL SOFTWARE,['BINARY'],BayesX: Analyzing Bayesian structured additive regression models,2005
26,"In many contexts such as queuing theory, spatial statistics, geostatistics and meteorology, data are observed at irregular spatial positions. One model of this situation involves considering the observation points as generated by a Poisson process. Under this assumption, we study the limit behavior of the partial sums of the marked point process {(t(i), X (t(i)))}, where X(t) is a stationary random field and the points t(i) are generated from an independent Poisson random measure N on R-d. We define the sample mean and sample variance statistics and determine their joint asymptotic behavior in a heavy-tailed setting, thus extending some finite variance results of Karr [Adv. in Appl. Probab. 18 (1986) 406-422]. New results on subsampling in the context of a marked point process are also presented, with the application of forming a confidence interval for the unknown mean under an unknown degree of heavy tails.",WOS:000247498100015,ANNALS OF STATISTICS,['INFERENCE'],Stable marked point processes,2007
27,"This paper presents a new method for spatially adaptive local (constant) likelihood estimation which applies to a broad class of nonparametric models, including the Gaussian, Poisson and binary response models. The main idea of the method is, given a sequence of local likelihood estimates (""weak"" estimates), to construct a new aggregated estimate whose pointwise risk is of order of the smallest risk among all ""weak"" estimates. We also propose a new approach toward selecting the parameters of the procedure by providing the prescribed behavior of the resulting estimate in the simple parametric situation. We establish a number of important theoretical results concerning the optimality of the aggregated estimate. In particular, our ""oracle"" result claims that its risk is, up to some logarithmic multiplier, equal to the smallest risk for the given family of estimates. The performance of the procedure is illustrated by application to the classification problem. A numerical study demonstrates its reasonable performance in simulated and real-life examples.",WOS:000251096100018,ANNALS OF STATISTICS,"['VARYING-COEFFICIENT MODELS', 'REGRESSION']",Spatial aggregation of local likelihood estimates with applications to classification,2007
28,"Interval censored outcomes arise when a silent event of interest is known to have occurred within a specific time period determined by the times of the last negative and first positive diagnostic tests. There is a rich literature on parametric and non-parametric approaches for the analysis of interval-censored outcomes. A commonly used strategy is to use a proportional hazards (PH) model with the baseline hazard function parameterized. The proportional hazards assumption can be relaxed in stratified models by allowing the baseline hazard function to vary across strata defined by a subset of explanatory variables. In this paper, we describe and implement a new R package straweib, for fitting a stratified Weibull model appropriate for interval censored outcomes. We illustrate the R package straweib by analyzing data from a longitudinal oral health study on the timing of the emergence of permanent teeth in 4430 children.",WOS:000343788100004,R JOURNAL,['TUTORIAL'],Stratified Weibull Regression Model for Interval-Censored Data,2014
29,"Traditional Rasch estimation of the item and student parameters via marginal maximum likelihood, joint maximum likelihood or conditional maximum likelihood, assume individuals in clustered settings are uncorrelated and items within a test that share a grouping structure are also uncorrelated. These assumptions are often violated, particularly in educational testing situations, in which students are grouped into classrooms and many test items share a common grouping structure, such as a content strand or a reading passage. Consequently, one possible approach is to explicitly recognize the clustered nature of the data and directly incorporate random effects to account for the various dependencies. This article demonstrates how the multilevel Rasch model can be estimated using the functions in R for mixed-effects models with crossed or partially crossed random effects. We demonstrate how to model the following hierarchical data structures: a) individuals clustered in similar settings ( e. g., classrooms, schools), b) items nested within a particular group ( such as a content strand or a reading passage), and c) how to estimate a teacher x content strand interaction.",WOS:000247010700001,JOURNAL OF STATISTICAL SOFTWARE,,Estimating the multilevel Rasch model: with the lme4 package,2007
30,"The estimation of kernel-smoothed relative risk functions is a useful approach to examining the spatial variation of disease risk. Though there exist several options for performing kernel density estimation in statistical software packages, there have been very few contributions to date that have focused on estimation of a relative risk function perse. Use of a variable or adaptive smoothing parameter for estimation of the individual densities has been shown to provide additional benefits in estimating relative risk and specific computational tools for this approach are essentially absent. Furthermore, little attention has been given to providing methods in available software for any kind of subsequent analysis with respect to an estimated risk function. To facilitate analyses in the field, the R package sparr is introduced, providing the ability to construct both fixed and adaptive kernel-smoothed densities and risk functions, identify statistically significant fluctuations in an estimated risk function through the use of asymptotic tolerance contours, and visualize these objects in flexible and attractive ways.",WOS:000287814900001,JOURNAL OF STATISTICAL SOFTWARE,['GEOGRAPHICAL EPIDEMIOLOGY'],sparr: Analyzing Spatial Relative Risk Using Fixed and Adaptive Kernel Density Estimation in R,2011
31,"We derive multiscale statistics for deconvolution in order to detect qualitative features of the unknown density. An important example covered within this framework is to test for local monotonicity on all scales simultaneously. We investigate the moderately ill-posed setting, where the Fourier transform of the error density in the deconvolution model is of polynomial decay. For multiscale testing, we consider a calibration, motivated by the modulus of continuity of Brownian motion. We investigate the performance of our results from both the theoretical and simulation based point of view. A major consequence of our work is that the detection of qualitative features of a density in a deconvolution problem is a doable task, although the minimax rates for pointwise estimation are very slow.",WOS:000321847600010,ANNALS OF STATISTICS,"['KERNEL DENSITY ESTIMATORS', 'NONPARAMETRIC DECONVOLUTION', 'WAVELET DECONVOLUTION', 'CONVERGENCE', 'RATES', 'REGRESSION', 'PROJECTION', 'BANDS', 'SPECT', 'MODE']",MULTISCALE METHODS FOR SHAPE CONSTRAINTS IN DECONVOLUTION: CONFIDENCE STATEMENTS FOR QUALITATIVE FEATURES,2013
32,"Finite mixtures of von Mises-Fisher distributions allow to apply model-based clustering methods to data which is of standardized length, i.e., all data points lie on the unit sphere. The R package movMF contains functionality to draw samples from finite mixtures of von Mises-Fisher distributions and to fit these models using the expectation-maximization algorithm for maximum likelihood estimation. Special features are the possibility to use sparse matrix representations for the input data, different variants of the expectation-maximization algorithm, different methods for determining the concentration parameters in the M-step and to impose constraints on the concentration parameters over the components.
In this paper we describe the main fitting function of the package and illustrate its application. In addition we compare the clustering performance of finite mixtures of von Mises-Fisher distributions to spherical k-means. We also discuss the resolution of several numerical issues which occur for estimating the concentration parameters and for determining the normalizing constant of the von Mises-Fisher distribution.",WOS:000341642400001,JOURNAL OF STATISTICAL SOFTWARE,"['MODIFIED BESSEL-FUNCTIONS', 'FUNCTION RATIOS', 'COMPUTATION', 'PARAMETER', 'SPHERE', 'SIMULATION']",movMF: An R Package for Fitting Mixtures of von Mises-Fisher Distributions,2014
33,"The survPresmooth package for R implements nonparametric presmoothed estimators of the main functions studied in survival analysis (survival, density, hazard and cumulative hazard functions). Presmoothed versions of the classical nonparametric estimators have been shown to increase efficiency if the presmoothing bandwidth is suitably chosen. The survPresmooth package provides plug-in and bootstrap bandwidth selectors, also allowing the possibility of using fixed bandwidths.",WOS:000324372200001,JOURNAL OF STATISTICAL SOFTWARE,"['RANDOM CENSORSHIP MODELS', 'KAPLAN-MEIER', 'DENSITY-FUNCTION', 'NONPARAMETRIC-INFERENCE', 'HAZARD FUNCTION', 'REPRESENTATION', 'KERNELS']",survPresmooth: An R Package for Presmoothed Estimation in Survival Analysis,2013
34,"A group-sequential clinical trial design is one in which interim analyses of the data are conducted after groups of patients are recruited. After each interim analysis, the trial may stop early if the evidence so far shows the new treatment is particularly effective or ineffective. Such designs are ethical and cost-effective, and so are of great interest in practice. An optimal group-sequential design is one which controls the type-I error rate and power at a specified level, but minimizes the expected sample size of the trial when the true treatment effect is equal to some specified value. Searching for an optimal group-sequential design is a significant computational challenge because of the high number of parameters. In this paper the R package OptGS is described. Package OptGS searches for near-optimal and balanced (i.e., one which balances more than one optimality criterion) group-sequential designs for randomized controlled trials with normally distributed outcomes. Package OptGS uses a two-parameter family of functions to determine the stopping boundaries, which improves the speed of the search process whilst still allowing flexibility in the possible shape of stopping boundaries. The resulting package allows optimal designs to be found in a matter of seconds - much faster than a previous approach.",WOS:000365976500001,JOURNAL OF STATISTICAL SOFTWARE,"['CLINICAL-TRIALS', 'CONTINUOUS OUTCOMES', 'SPENDING FUNCTIONS', 'TESTS', 'FAMILY']",OptGS: An R Package for Finding Near-Optimal Group-Sequential Designs,2015
35,"The aim of this paper is to demonstrate the R package conting for the Bayesian analysis of complete and incomplete contingency tables using hierarchical log-linear models. This package allows a user to identify interactions between categorical factors (via complete contingency tables) and to estimate closed population sizes using capture-recapture studies (via incomplete contingency tables). The models are fitted using Markov chain Monte Carlo methods. In particular, implementations of the Metropolis-Hastings and reversible jump algorithms appropriate for log-linear models are employed. The conting package is demonstrated on four real examples.",WOS:000341584600001,JOURNAL OF STATISTICAL SOFTWARE,"['CAPTURE-RECAPTURE METHODS', 'MODEL DETERMINATION', 'PRIOR INFORMATION', 'LINEAR-MODELS', 'SCOTLAND', 'DISTRIBUTIONS', 'POPULATION', 'INJECTORS', 'NUMBER', 'SIZE']",conting: An R Package for Bayesian Analysis of Complete and Incomplete Contingency Tables,2014
