id	wos_id	accession_no	issn	issn_int	eissn	isbn	eisbn	art_no	doi	title	pubtype	doctype	pubyear	pubmonth	pubday	language	source	page_range	page_count	has_abstract	wos_id	abstract
233381	WOS:000286291100001	707MQ	1536-867X	1536867	NULL	NULL	NULL	NULL	NULL	A suite of commands for fitting the skew-normal and skew-t models	Journal	Article	2010	1	1	English	STATA JOURNAL	507-539	33	1	WOS:000286291100001	Nonnormal data arise often in practice, prompting the development of flexible distributions for modeling such situations. In this article, we describe two multivariate distributions, the skew-normal and the skew-t, which can be used to model skewed and heavy-tailed continuous data. We then discuss some inferential issues that can arise when fitting these distributions to real data. We also consider the use of these distributions in a regression setting for more flexible parametric modeling of the conditional distribution given other predictors. We present commands for fitting univariate and multivariate skew-normal and skew-t regressions in Stata (skewnreg, skewtreg, mskewnreg, and mskewtreg) as well as sonic postestimation features (predict and skewrplot). We also demonstrate the use of the commands for the analysis of the famous Australian Institute of Sport data and U.S. precipitation data.
245720	WOS:000281593000001	647CI	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	Zero-Coupon Yield Curve Estimation with the Package terms	Journal	Article	2010	8	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-34	34	1	WOS:000281593000001	Since zero-coupon rates are rarely directly observable, they have to be estimated from market data. In this paper we review several widely-used parametric term structure estimation methods. We propose a weighted constrained optimization procedure with analytical gradients and a globally optimal start parameter search algorithm. Moreover, we introduce the R package termstrc, which offers a wide range of functions for term structure estimation based on static and dynamic coupon bond and yield data sets. It provides extensive summary statistics and plots to compare the results of the different estimation methods. We illustrate the application of the package through practical examples using market data from European government bonds and yields.
282255	WOS:000281588300001	647AT	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	Introducing COZIGAM: An R Package for Unconstrained and Constrained Zero-Inflated Generalized Additive Model Analysis	Journal	Article	2010	7	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-26	26	1	WOS:000281588300001	Zero-inflation problem is very common in ecological studies as well as other areas. Nonparametric regression with zero-inflated data may be studied via the zero-inflated generalized additive model (ZIGAM), which assumes that the zero-inflated responses come from a probabilistic mixture of zero and a regular component whose distribution belongs to the 1-parameter exponential family. With the further assumption that the probability of non-zero-inflation is some monotonic function of the mean of the regular component, we propose the constrained zero-inflated generalized additive model (COZIGAM) for analyzing zero-inflated data. When the hypothesized constraint obtains, the new approach provides a unified framework for modeling zero-inflated data, which is more parsimonious and efficient than the unconstrained ZIGAM. We have developed an R package COZIGAM which contains functions that implement an iterative algorithm for fitting ZIGAMs and COZIGAMs to zero-inflated data based on the penalized likelihood approach. Other functions included in the package are useful for model prediction and model selection. We demonstrate the use of the COZIGAM package via some simulation studies and a real application.
357839	WOS:000208590000012	V27BZ	2073-4859	2073485	NULL	NULL	NULL	NULL	NULL	What's New?	Journal	Article	2010	12	1	English	R JOURNAL	74-76	3	1	WOS:000208590000012	We discuss how news in R and addon packages can be disseminated. R 2.10.0 has added facilities for computing on news in a common plain text format. In R 2.12.0, the Rd format has been further enhanced so that news can be very conveniently recorded in Rd, allowing for both improved rendering and the development of new news services.
369381	WOS:000284004600001	677PP	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	An R Package for Dynamic Linear Models	Journal	Article	2010	10	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-16	16	1	WOS:000284004600001	We describe an R package focused on Bayesian analysis of dynamic linear models. The main features of the package are its flexibility to deal with a variety of constant or time-varying, univariate or multivariate models, and the numerically stable singular value decomposition-based algorithms used for filtering and smoothing. In addition to the examples of "out-of-the-box" use, we illustrate how the package can be used in advanced applications to implement a Gibbs sampler for a user-specified model.
381044	WOS:000208589900008	V27BY	2073-4859	2073485	NULL	NULL	NULL	NULL	NULL	Online Reproducible Research: An Application to Multivariate Analysis of Bacterial DNA Fingerprint Data	Journal	Article	2010	6	1	English	R JOURNAL	44-52	9	1	WOS:000208589900008	This paper presents an example of online reproducible multivariate data analysis. This example is based on a web page providing an online computing facility on a server. HTML forms contain editable R code snippets that can be executed in any web browser thanks to the Rweb software. The example is based on the multivariate analysis of DNA fingerprints of the internal bacterial flora of the poultry red mite Dermanyssus gallinae. Several multivariate data analysis methods from the ade4 package are used to compare the fingerprints of mite pools coming from various poultry farms. All the computations and graphical displays can be redone interactively and further explored online, using only a web browser. Statistical methods are detailed in the duality diagram framework, and a discussion about online reproducibility is initiated.
383387	WOS:000208590000006	V27BZ	2073-4859	2073485	NULL	NULL	NULL	NULL	NULL	stringr: modern, consistent string processing	Journal	Article	2010	12	1	English	R JOURNAL	38-40	3	1	WOS:000208590000006	String processing is not glamorous, but it is frequently used in data cleaning and preparation. The existing string functions in R are powerful, but not friendly. To remedy this, the stringr package provides string functions that are simpler and more consistent, and also fixes some functionality that R is missing compared to other programming languages.
409185	WOS:000276954600001	586ZH	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	An R Package for Assessing Drug Synergism/Antagonism	Journal	Article	2010	4	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-18	18	1	WOS:000276954600001	Synergistic and antagonistic drug interactions are important to consider when developing mixtures of anticancer or other types of drugs. Boik, Newman, and Boik (2008) proposed the Mix Low method as an alternative to the Median-Effect method of Chou and Talalay (1984) for estimating drug interaction indices. One advantage of the Mix Low method is that then on linear mixed-effects model used to estimate parameters of concentration response curves can provide more accurate parameter estimates than the log linearization and least-squares analysis used in the Median-Effect method. This paper introduces the mix low package in R, an implementation of the Mix Low method. Results are reported for a small simulation study.
435192	WOS:000281593500001	647CN	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	An R Package for the Adaptive Management of Epidemiological Interventions	Journal	Article	2010	8	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-32	32	1	WOS:000281593500001	The amei package for R is a tool that provides a flexible statistical framework for generating optimal epidemiological interventions that are designed to minimize the total expected cost of an emerging epidemic. Uncertainty regarding the underlying disease parameters is propagated through to the decision process via Bayesian posterior inference. The strategies produced through this framework are adaptive: vaccination schedules are iteratively adjusted to reflect the anticipated trajectory of the epidemic given the current population state and updated parameter estimates. This document briefly covers the background and methodology underpinning the implementation provided by the package and contains extensive examples showing the functions and methods in action.
454979	WOS:000284004900001	677PS	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	Interactive Teaching Tools for Spatial Sampling	Journal	Article	2010	10	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-17	17	1	WOS:000284004900001	The statistical analysis of data which is measured over a spatial region is well established as a scientific tool which makes considerable contributions to a wide variety of application areas. Further development of these tools also remains a central part of the research scene in statistics. However, understanding of the concepts involved often bene fits from an intuitive and experimental approach, as well as a formal description of models and methods. This paper describes software which is intended to assist in this understanding. The role of simulation is advocated, in order to explain the meaning of spatial correlation and to interpret the parameters involved in standard models. Realistic scenarios where decisions on the locations of sampling points in a spatial setting are required are also described. Students are provided with a variety of sampling strategies and invited to select the most appropriate one in two different settings. One involves water sampling in the lagoon of the Mururoa Atoll while the other involves sea bed sampling in a Scottish firth. Once a student has decided on a sampling strategy, simulated data are provided for further analysis. This extends the range of teaching activity from the analysis of data collected by others to involvement in data collection and the need to grapple with issues of design. It is argued that this approach has significant bene fits in learning. The software which implements these tools is built on existing R packages, using rpanel controls for the geoR geostatistical simulation and modelling tools. The operation and construction of the software are described in detail. The software is made available as additional functions rp.geosim, rp.mururoa and rp.firth in the rpanel package.
463498	WOS:000281588200001	647AS	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	R Package distrMod: S4 Classes and Methods for Probability Models	Journal	Article	2010	7	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-27	27	1	WOS:000281588200001	Package distrMod provides an object oriented (more specifically S4-style) implementation of probability models. Moreover, it contains functions and methods to compute minimum criterion estimators - in particular, maximum likelihood and minimum distance estimators.
523250	WOS:000282057200001	653BI	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	Feature Selection with the Boruta Package	Journal	Article	2010	9	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-13	13	1	WOS:000282057200001	This article describes a R package Boruta, implementing a novel feature selection algorithm for finding all relevant variables. The algorithm is designed as a wrapper around a Random Forest classification algorithm. It iteratively removes the features which are proved by a statistical test to be less relevant than random probes. The Boruta package provides a convenient interface to the algorithm. The short description of the algorithm and examples of its application are presented.
525658	WOS:000280076600003	627XD	1536-867X	1536867	NULL	NULL	NULL	NULL	NULL	Model fit assessment via marginal model plots	Journal	Article	2010	1	1	English	STATA JOURNAL	215-225	11	1	WOS:000280076600003	We present a new Stata command, mmp, that generates marginal model plots (Cook and Weisberg, 1.997, Journal of the American Statistical Association 92: 490-499) for a regression model. These plots allow for the comparison of the fitted model with a nonparametric or semiparametric model fit. The user may precisely specify how the alternative fit is computed. Demonstrations are given for logistic and linear regressions, using the lowess smoother to generate the alternate fit. Guidelines for the use of map under different models (through glm and other commands) and different smoothers (such as lpoly) are also presented.
525872	WOS:000282853700010	662ZV	1536-867X	1536867	NULL	NULL	NULL	NULL	NULL	Translation from narrative text to standard codes variables with Stata	Journal	Article	2010	1	1	English	STATA JOURNAL	458-481	24	1	WOS:000282853700010	In this article, we describe screening, a new Stata command for data management that can be used to examine the content of complex narrative-text variables to identify one or more user-defined keywords. The command is useful when dealing with string data contaminated with abbreviations, typos, or mistakes. A rich set of options allows a direct translation from the original narrative string to a user-defined standard coding scheme. Moreover, screening is flexible enough to facilitate the merging of information from different sources and to extract or reorganize the content of string variables.
527223	WOS:000286291100006	707MQ	1536-867X	1536867	NULL	NULL	NULL	NULL	NULL	A simple feasible procedure to fit models with high-dimensional fixed effects	Journal	Article	2010	1	1	English	STATA JOURNAL	628-649	22	1	WOS:000286291100006	In this article, we describe an iterative approach for the estimation of linear regression models with high-dimensional fixed effects. This approach is computationally intensive but imposes minimum memory requirements. We also show that the approach can be extended to nonlinear models and to more than two high-dimensional fixed effects.
531534	WOS:000284597100001	685AT	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	DAKS: An R Package for Data Analysis Methods in Knowledge Space Theory	Journal	Article	2010	11	1	English	JOURNAL OF STATISTICAL SOFTWARE	NULL	31	1	WOS:000284597100001	Knowledge space theory is part of psychometrics and provides a theoretical framework for the modeling, assessment, and training of knowledge. It utilizes the idea that some pieces of knowledge may imply others, and is based on order and set theory. We introduce the R package D A K S for performing basic and advanced operations in knowledge space theory. This package implements three inductive item tree analysis algorithms for deriving quasi orders from binary data, the original, corrected, and minimized corrected algorithms, in sample as well as population quantities. It provides functions for computing population and estimated asymptotic variances of and one and two sample Z tests for the diff fit measures, and for switching between test item and knowledge state representations. Other features are a function for computing response pattern and knowledge state frequencies, a data (based on a finite mixture latent variable model) and quasi order simulation tool, and a Hasse diagram drawing device. We describe the functions of the package and demonstrate their usage by real and simulated data examples.
549017	WOS:000277918600011	599MZ	1536-867X	1536867	NULL	NULL	NULL	NULL	NULL	Speaking Stata: The statsby strategy	Journal	Article	2010	1	1	English	STATA JOURNAL	143-151	9	1	WOS:000277918600011	The statsby command collects statistics from a command yielding r-class or e-class results across groups of observations and yields a new reduced dataset. statsby is commonly used to graph such data in comparisons of groups; the subsets and total options of statsby are particularly useful in this regard. In this article; I give examples of using this approach to produce box plots and plots of confidence intervals.
554415	WOS:000276954700001	586ZI	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	rpartOrdinal: An R Package for Deriving a Classification Tree for Predicting an Ordinal Response	Journal	Article	2010	4	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-17	17	1	WOS:000276954700001	This paper describes an R package, rpartOrdinal, that implements alternative splitting functions for fitting a classification tree when interest lies in predicting an ordinal response. This includes the generalized Gini impurity function, which was introduced as a method for predicting an ordinal response by including costs of misclassification into the impurity function, as well as an alternative ordinal impurity function due to Piccarreta (2008) that does not require the assignment of misclassification costs. The ordered twoing splitting method, which is not defined as a decrease in node impurity, is also included in the package. Since, in the ordinal response setting, misclassifying observations to adjacent categories is a less egregious error than misclassifying observations to distant categories, this pack a geal so includes a function for estimating an ordinal measure of association, the gamma statistic.
595424	WOS:000286291100002	707MQ	1536-867X	1536867	NULL	NULL	NULL	NULL	NULL	Fitting heterogeneous choice models with oglm	Journal	Article	2010	1	1	English	STATA JOURNAL	540-567	28	1	WOS:000286291100002	When a binary or ordinal regression model incorrectly assumes that error variances are the same for all cases, the standard errors are wrong and (unlike ordinary least squares regression) the parameter estimates are biased. Heterogeneous choice models (also known as location scale models or heteroskedastic ordered models) explicitly specify the determinants of heteroskedasticity in an attempt to correct for it. Such models are also useful when the variance itself is of substantive interest. This article illustrates how the author's Stata program oglm (ordinal generalized linear models) can be used to fit heterogeneous choice and related models. It shows that two other models that have appeared in the literature (Allison's model for group comparisons and Hauser and Andrew's logistic response model with proportionality constraints) are special cases of a heterogeneous choice model and alternative parameterizations of it. The article further argues that heterogeneous choice models may sometimes be an attractive alternative to other ordinal regression models, such as the generalized ordered logit model fit by gologit2. Finally, the article offers guidelines on how to interpret, test, and modify heterogeneous choice models.
657251	WOS:000208590000005	V27BZ	2073-4859	2073485	NULL	NULL	NULL	NULL	NULL	dclone: Data Cloning in R	Journal	Article	2010	12	1	English	R JOURNAL	29-37	9	1	WOS:000208590000005	The dclone R package contains low level functions for implementing maximum likelihood estimating procedures for complex models using data cloning and Bayesian Markov Chain Monte Carlo methods with support for JAGS, WinBUGS and OpenBUGS.
672588	WOS:000208590000004	V27BZ	2073-4859	2073485	NULL	NULL	NULL	NULL	NULL	hglm: A Package for Fitting Hierarchical Generalized Linear Models	Journal	Article	2010	12	1	English	R JOURNAL	20-28	9	1	WOS:000208590000004	We present the hglm package for fitting hierarchical generalized linear models. It can be used for linear mixed models and generalized linear mixed models with random effects for a variety of links and a variety of distributions for both the outcomes and the random effects. Fixed effects can also be fitted in the dispersion part of the model.
687986	WOS:000282853700004	662ZV	1536-867X	1536867	NULL	NULL	NULL	NULL	NULL	Using Stata with PHASE and Haploview: Commands for importing and exporting data	Journal	Article	2010	1	1	English	STATA JOURNAL	359-368	10	1	WOS:000282853700004	Modern genetics studies require the use of many specialty software programs for various aspects of the statistical analysis. PHASE is a program often used to reconstruct haplotypes from genotype data, and Haploview is a program often used to visualize and analyze single nucleotide polymorphism data. Three new commands are described for performing these three steps: 1) exporting genotype data stored in Stata to PHASE, 2) importing the resulting inferred haplotypes back into Stata, and 3) exporting the haplotype/single nucleotide polymorphism data from Stata to Haploview.
718782	WOS:000277918600006	599MZ	1536-867X	1536867	NULL	NULL	NULL	NULL	NULL	riskplot: A graphical aid to investigate the effect of multiple categorical risk factors	Journal	Article	2010	1	1	English	STATA JOURNAL	61-68	8	1	WOS:000277918600006	In this article, we describe a command, riskplot, aiming to provide a visual aid to assess the strength, importance, and consistency of risk factor effects. The plotted form is a dendrogram that branches out as it moves from left to right. It displays the mean of some score or the absolute risk of some outcome for a sample that is progressively disaggregated by a sequence of categorical risk factors. Examples of the application of the new command are drawn from the analysis of depression and fluid intelligence in a sample of elderly men and women.
749084	WOS:000282853700007	662ZV	1536-867X	1536867	NULL	NULL	NULL	NULL	NULL	metaan: Random-effects meta-analysis	Journal	Article	2010	1	1	English	STATA JOURNAL	395-407	13	1	WOS:000282853700007	This article describes the new meta-analysis command metaan, which can be used to perform fixed- or random-effects meta-analysis. Besides the standard DerSimonian and Laird approach, metaan offers a wide choice of available models: maximum likelihood, profile likelihood, restricted maximum likelihood, and a permutation model. The command reports a variety of heterogeneity measures, including Cochran's Q, I(2), H(M)(2), and the between-studies variance estimate (T) over cap (2). A forest plot and a graph of the maximum likelihood function can also be generated.
754696	WOS:000275204000001	564HN	1548-7660	1548766	NULL	NULL	NULL	ARTN 9	NULL	Solving Differential Equations in R: Package deSolve	Journal	Article	2010	2	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-25	25	1	WOS:000275204000001	In this paper we present the R package deSolve to solve initial value problems (IVP) written as ordinary differential equations (ODE), differential algebraic equations (DAE) of index 0 or 1 and partial differential equations (PDE), the latter solved using the method of lines approach. The differential equations can be represented in R code or as compiled code. In the latter case, R is used as a tool to trigger the integration and post-process the results, which facilitates model development and application, whilst the compiled code significantly increases simulation speed. The methods implemented are efficient, robust, and well documented public-domain Fortran routines. They include four integrators from the ODEPACK package (LSODE, LSODES, LSODA, LSODAR), DVODE and DASPK2.0. In addition, a suite of Runge-Kutta integrators and special-purpose solvers to efficiently integrate 1-, 2- and 3-dimensional partial differential equations are available. The routines solve both stiff and non-stiff systems, and include many options, e. g., to deal in an efficient way with the sparsity of the Jacobian matrix, or finding the root of equations. In this article, our objectives are threefold: (1) to demonstrate the potential of using R for dynamic modeling, (2) to highlight typical uses of the different methods implemented and (3) to compare the performance of models specified in R code and in compiled code for a number of test cases. These comparisons demonstrate that, if the use of loops is avoided, R code can efficiently integrate problems comprising several thousands of state variables. Nevertheless, the same problem may be solved from 2 to more than 50 times faster by using compiled code compared to an implementation using only R code. Still, amongst the bene fits of R are a more flexible and interactive implementation, better readability of the code, and access to R's high-level procedures. deSolve is the successor of packageo desolve which will be deprecated in the future; it is free software and distributed under the GNU General Public License, as part of the R software project.
790457	WOS:000275203300001	564HG	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	MCMC Methods for Multi-Response Generalized Linear Mixed Models: The MCMCglmm R Package	Journal	Article	2010	2	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-22	22	1	WOS:000275203300001	Generalized linear mixed models provide a flexible framework for modeling a range of data, although with non-Gaussian response variables the likelihood cannot be obtained in closed form. Markov chain Monte Carlo methods solve this problem by sampling from a series of simpler conditional distributions that can be evaluated. The R package M C M C g l m m implements such an algorithm for a range of model fitting problems. More than one response variable can be analyzed simultaneously, and these variables are allowed to follow Gaussian, Poisson, multi(bi) nominal, exponential, zero-inflated and censored distributions. A range of variance structures are permitted for the random effects, including interactions with categorical or continuous variables (i.e., random regression), and more complicated variance structures that arise through shared ancestry, either through a pedigree or through a phylogeny. Missing values are permitted in the response variable(s) and data can be known up to some level of measurement error as in meta-analysis. All simulation is done in C/C++ using the CSparse library for sparse linear systems.
790948	WOS:000281593600001	647CO	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	depmixS4: An R Package for Hidden Markov Models	Journal	Article	2010	8	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-21	21	1	WOS:000281593600001	depmixS4 implements a general framework for defining and estimating dependent mixture models in the R programming language. This includes standard Markov models, latent/hidden Markov models, and latent class and finite mixture distribution models. The models can be fitted on mixed multivariate data with distributions from the g l m family, the (logistic) multinomial, or the multivariate normal distribution. Other distributions can be added easily, and an example is provided with the exgaus distribution. Parameters are estimated by the expectation-maximization (EM) algorithm or, when (linear) constraints are imposed on the parameters, by direct numerical optimization with the Rsolnp or Rdonlp 2 routines.
801137	WOS:000281583900001	646ZD	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	A Fortran 90 Program for Confirmatory Analysis of Variance	Journal	Article	2010	5	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-30	30	1	WOS:000281583900001	There are different confirmatory techniques to compare means, like hypothesis testing and (Bayesian) model selection. However, there is no software package in which these techniques are available. A Fortran 90 program is written, which enables researchers to apply these techniques to their data. Besides traditional hypotheses, like H-0 : mu(1) = mu(2) = mu(3) and H-u : mu(1); mu(2); mu(3), order-restricted hypotheses, like mu(1) > mu(2) > mu(3) or mu(1) > mu(2) = mu(3) or mu(1) > mu(2) < mu(3), can be evaluated.
814316	WOS:000281587500001	647AL	1548-7660	1548766	NULL	NULL	NULL	NULL	NULL	PyMC: Bayesian Stochastic Modelling in Python	Journal	Article	2010	7	1	English	JOURNAL OF STATISTICAL SOFTWARE	1-81	81	1	WOS:000281587500001	This user guide describes a Python package, PyMC, that allows users to efficiently code a probabilistic model and draw samples from its posterior distribution using Markov chain Monte Carlo techniques.
